id,target
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,1
531,1
532,0
